player,position,team,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,opponent,home
Mike Tolbert,RB,FA,1.0,,,,,,,0.1,,9,2016,2.0,1.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DeAngelo Williams,RB,FA,1.0,,,,,,,0.1,,9,2016,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Fozzy Whittaker,RB,FA,1.0,,,,,,,0.1,,9,2016,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,
Will Tukuafu,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Shaun Draughn,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jordan Todman,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Denard Robinson,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cory Harkey,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lance Dunbar,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Bobby Rainey,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
C.J. Spiller,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Danny Vitale,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Taiwan Jones,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Juwan Thompson,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Chase Reynolds,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Zach Line,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lorenzo Taliaferro,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Zach Zenner,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jalston Fowler,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
George Atkinson III,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Javorius Allen,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Fitzgerald Toussaint,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Orleans Darkwa,RB,FA,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Damien Williams,RB,CHI,1.0,,,,,,,4.9,,9,2016,5.0,29.0,5.8,23.0,1.0,0.0,2.0,3.0,20.0,10.0,0.0,0.0,BYE,
Jonathan Williams,RB,WAS,1.0,,,,,,,0.0,,9,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BYE,
Ryan Mathews,RB,FA,1.0,,,,,,,27.9,,10,2016,19.0,109.0,5.7,21.0,2.0,2.0,2.0,2.0,30.0,15.0,0.0,0.0,,
DeMarco Murray,RB,FA,1.0,,,,,,,26.0,,10,2016,17.0,123.0,7.2,75.0,1.0,1.0,2.0,3.0,33.0,16.5,0.0,0.0,,
Le'Veon Bell,RB,FA,1.0,,,,,,,25.4,,10,2016,17.0,57.0,3.4,16.0,0.0,1.0,9.0,10.0,77.0,8.6,1.0,0.0,,
LeGarrette Blount,RB,FA,1.0,,,,,,,24.9,,10,2016,21.0,69.0,3.3,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,
C.J. Prosise,RB,FA,1.0,,,,,,,15.3,,10,2016,17.0,66.0,3.9,10.0,0.0,0.0,7.0,7.0,87.0,12.4,0.0,0.0,,
Bilal Powell,RB,FA,1.0,,,,,,,14.9,,10,2016,4.0,37.0,9.3,17.0,0.0,0.0,7.0,7.0,52.0,7.4,1.0,0.0,,
Rashad Jennings,RB,FA,1.0,,,,,,,10.9,,10,2016,15.0,87.0,5.8,25.0,2.0,0.0,3.0,6.0,22.0,7.3,0.0,0.0,,
Matt Forte,RB,FA,1.0,,,,,,,10.9,,10,2016,20.0,98.0,4.9,28.0,2.0,0.0,2.0,3.0,11.0,5.5,0.0,0.0,,
Doug Martin,RB,FA,1.0,,,,,,,10.6,,10,2016,16.0,33.0,2.1,10.0,0.0,1.0,1.0,2.0,13.0,13.0,0.0,0.0,,
Jeremy Hill,RB,FA,1.0,,,,,,,10.6,,10,2016,15.0,46.0,3.1,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
James Starks,RB,FA,1.0,,,,,,,10.4,,10,2016,7.0,33.0,4.7,11.0,0.0,0.0,3.0,4.0,11.0,3.7,1.0,0.0,,
Robert Kelley,RB,FA,1.0,,,,,,,9.5,,10,2016,22.0,97.0,4.4,21.0,1.0,0.0,1.0,1.0,-2.0,-2.0,0.0,0.0,,
Lamar Miller,RB,FA,1.0,,,,,,,8.3,,10,2016,15.0,83.0,5.5,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jay Ajayi,RB,FA,1.0,,,,,,,8.0,,10,2016,19.0,79.0,4.2,40.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,
Kenneth Dixon,RB,FA,1.0,,,,,,,8.0,,10,2016,6.0,38.0,6.3,11.0,0.0,0.0,5.0,7.0,42.0,8.4,0.0,0.0,,
Terrance West,RB,FA,1.0,,,,,,,7.7,,10,2016,21.0,65.0,3.1,17.0,0.0,0.0,1.0,2.0,12.0,12.0,0.0,0.0,,
Darren Sproles,RB,FA,1.0,,,,,,,7.6,,10,2016,2.0,19.0,9.5,11.0,0.0,0.0,8.0,10.0,57.0,7.1,0.0,0.0,,
Matt Asiata,RB,FA,1.0,,,,,,,7.5,,10,2016,9.0,13.0,1.4,6.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,,
Todd Gurley II,RB,FA,1.0,,,,,,,7.2,,10,2016,21.0,64.0,3.0,13.0,0.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0,,
Spencer Ware,RB,FA,1.0,,,,,,,7.2,,10,2016,13.0,61.0,4.7,12.0,0.0,0.0,3.0,3.0,11.0,3.7,0.0,0.0,,
Wendell Smallwood,RB,FA,1.0,,,,,,,7.0,,10,2016,13.0,70.0,5.4,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
T.J. Yeldon,RB,FA,1.0,,,,,,,5.9,,10,2016,9.0,32.0,3.6,7.0,0.0,0.0,3.0,3.0,27.0,9.0,0.0,0.0,,
Tim Hightower,RB,FA,1.0,,,,,,,5.5,,10,2016,8.0,21.0,2.6,3.0,0.0,0.0,2.0,2.0,34.0,17.0,0.0,0.0,,
Isaiah Crowell,RB,FA,1.0,,,,,,,5.3,,10,2016,9.0,23.0,2.6,9.0,0.0,0.0,3.0,5.0,30.0,10.0,0.0,0.0,,
Akeem Hunt,RB,FA,1.0,,,,,,,5.3,,10,2016,8.0,52.0,6.5,17.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,,
Benny Cunningham Jr.,RB,FA,1.0,,,,,,,4.7,,10,2016,6.0,40.0,6.7,24.0,1.0,0.0,3.0,5.0,7.0,2.3,0.0,0.0,,
Chris Ivory,RB,FA,1.0,,,,,,,4.1,,10,2016,9.0,31.0,3.4,13.0,0.0,0.0,2.0,3.0,10.0,5.0,0.0,0.0,,
Jonathan Stewart,RB,FA,1.0,,,,,,,3.9,,10,2016,13.0,39.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
Paul Perkins,RB,FA,1.0,,,,,,,3.1,,10,2016,9.0,31.0,3.4,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,
Travaris Cadet,RB,FA,1.0,,,,,,,2.6,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,26.0,13.0,0.0,0.0,,
Jeremy Langford,RB,FA,1.0,,,,,,,2.6,,10,2016,2.0,16.0,8.0,13.0,0.0,0.0,4.0,5.0,10.0,2.5,0.0,0.0,,
Christine Michael,RB,FA,1.0,,,,,,,2.6,,10,2016,5.0,22.0,4.4,9.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,,
Alfred Blue,RB,FA,1.0,,,,,,,2.3,,10,2016,7.0,23.0,3.3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kapri Bibbs,RB,FA,1.0,,,,,,,2.2,,10,2016,7.0,22.0,3.1,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
Chris Thompson,RB,FA,1.0,,,,,,,1.6,,10,2016,4.0,25.0,6.3,9.0,0.0,0.0,3.0,3.0,11.0,3.7,0.0,1.0,,
Ka'Deem Carey,RB,FA,1.0,,,,,,,1.5,,10,2016,2.0,-1.0,-0.5,1.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,,
Fozzy Whittaker,RB,FA,1.0,,,,,,,1.4,,10,2016,2.0,5.0,2.5,7.0,0.0,0.0,1.0,2.0,9.0,9.0,0.0,0.0,,
DuJuan Harris,RB,FA,1.0,,,,,,,1.4,,10,2016,5.0,14.0,2.8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Mike James,RB,FA,1.0,,,,,,,1.2,,10,2016,2.0,7.0,3.5,8.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,,
Charcandrick West,RB,FA,1.0,,,,,,,1.0,,10,2016,2.0,5.0,2.5,3.0,0.0,0.0,3.0,3.0,5.0,1.7,0.0,0.0,,
Zach Line,RB,FA,1.0,,,,,,,0.5,,10,2016,1.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
C.J. Spiller,RB,FA,1.0,,,,,,,0.4,,10,2016,1.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
Paul Lasike,RB,FA,1.0,,,,,,,0.3,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,,
Javorius Allen,RB,FA,1.0,,,,,,,0.3,,10,2016,2.0,3.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ronnie Hillman,RB,FA,1.0,,,,,,,0.2,,10,2016,4.0,2.0,0.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Anthony Sherman,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Denard Robinson,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cory Harkey,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kerwynn Williams,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Knile Davis,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Shaun Draughn,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Will Tukuafu,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lance Dunbar,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
Bobby Rainey,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
John Kuhn,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Mike Tolbert,RB,FA,1.0,,,,,,,0.0,,10,2016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Stepfan Taylor,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Joe Kerridge,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Mack Brown,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Tyler Ervin,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Danny Vitale,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kenneth Farrow,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Taiwan Jones,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Antonio Andrews,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ryan Hewitt,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jay Prosch,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Chase Reynolds,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
James Develin,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Patrick DiMarco,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lorenzo Taliaferro,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jalston Fowler,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aaron Ripkowski,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Roosevelt Nix,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Fitzgerald Toussaint,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Orleans Darkwa,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
George Atkinson III,RB,FA,1.0,,,,,,,0.0,,10,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Terron Ward,RB,FA,1.0,,,,,,,-0.1,,10,2016,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
Andre Ellington,RB,FA,1.0,,,,,,,-0.1,,10,2016,2.0,-1.0,-0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Peyton Barber,RB,LV,1.0,,,,,,,3.8,,10,2016,12.0,38.0,3.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kenyan Drake,RB,LV,1.0,,,,,,,0.9,,10,2016,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Robert Kelley,RB,FA,1.0,,,,,,,31.7,,11,2016,24.0,137.0,5.7,66.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,,
Le'Veon Bell,RB,FA,1.0,,,,,,,26.1,,11,2016,28.0,146.0,5.2,12.0,0.0,1.0,8.0,9.0,55.0,6.9,0.0,0.0,,
Rashad Jennings,RB,FA,1.0,,,,,,,18.9,,11,2016,21.0,85.0,4.0,21.0,1.0,1.0,5.0,6.0,44.0,8.8,0.0,0.0,,
Lamar Miller,RB,FA,1.0,,,,,,,17.3,,11,2016,24.0,104.0,4.3,33.0,1.0,1.0,2.0,3.0,9.0,4.5,0.0,0.0,,
C.J. Prosise,RB,FA,1.0,,,,,,,14.1,,11,2016,4.0,76.0,19.0,72.0,1.0,1.0,2.0,3.0,5.0,2.5,0.0,0.0,,
DeMarco Murray,RB,FA,1.0,,,,,,,13.9,,11,2016,21.0,70.0,3.3,8.0,0.0,0.0,3.0,3.0,9.0,3.0,1.0,0.0,,
Todd Gurley II,RB,FA,1.0,,,,,,,13.6,,11,2016,20.0,76.0,3.8,24.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,
James Starks,RB,FA,1.0,,,,,,,13.1,,11,2016,9.0,25.0,2.8,8.0,0.0,0.0,5.0,6.0,46.0,9.2,1.0,0.0,,
Tim Hightower,RB,FA,1.0,,,,,,,12.6,,11,2016,12.0,69.0,5.8,27.0,1.0,0.0,8.0,9.0,57.0,7.1,0.0,0.0,,
LeGarrette Blount,RB,FA,1.0,,,,,,,12.4,,11,2016,19.0,124.0,6.5,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Frank Gore,RB,FA,1.0,,,,,,,12.1,,11,2016,18.0,50.0,2.8,8.0,0.0,0.0,4.0,4.0,71.0,17.8,0.0,0.0,,
Terrance West,RB,FA,1.0,,,,,,,11.3,,11,2016,8.0,42.0,5.3,18.0,0.0,1.0,1.0,2.0,11.0,11.0,0.0,0.0,,
Jalen Richard,RB,FA,1.0,,,,,,,11.2,,11,2016,3.0,2.0,0.7,4.0,0.0,0.0,3.0,3.0,50.0,16.7,1.0,0.0,,
Doug Martin,RB,FA,1.0,,,,,,,10.5,,11,2016,24.0,63.0,2.6,12.0,0.0,0.0,3.0,4.0,42.0,14.0,0.0,0.0,,
LeSean McCoy,RB,FA,1.0,,,,,,,10.5,,11,2016,5.0,33.0,6.6,21.0,1.0,1.0,2.0,3.0,12.0,6.0,0.0,0.0,,
Shaun Draughn,RB,FA,1.0,,,,,,,10.3,,11,2016,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,43.0,14.3,1.0,0.0,,
Jonathan Stewart,RB,FA,1.0,,,,,,,9.9,,11,2016,18.0,31.0,1.7,10.0,0.0,1.0,1.0,4.0,8.0,8.0,0.0,0.0,,
Jeremy Langford,RB,FA,1.0,,,,,,,9.8,,11,2016,6.0,8.0,1.3,6.0,0.0,1.0,3.0,3.0,30.0,10.0,0.0,0.0,,
Chris Ivory,RB,FA,1.0,,,,,,,9.4,,11,2016,17.0,39.0,2.3,8.0,0.0,0.0,6.0,6.0,75.0,12.5,0.0,1.0,,
Thomas Rawls,RB,FA,1.0,,,,,,,8.8,,11,2016,14.0,57.0,4.1,18.0,0.0,0.0,3.0,4.0,31.0,10.3,0.0,0.0,,
Matt Asiata,RB,FA,1.0,,,,,,,8.7,,11,2016,5.0,20.0,4.0,9.0,0.0,1.0,1.0,1.0,7.0,7.0,0.0,0.0,,
Spencer Ware,RB,FA,1.0,,,,,,,8.5,,11,2016,17.0,69.0,4.1,15.0,0.0,0.0,2.0,2.0,16.0,8.0,0.0,0.0,,
Jay Ajayi,RB,FA,1.0,,,,,,,8.4,,11,2016,16.0,77.0,4.8,36.0,1.0,0.0,3.0,4.0,7.0,2.3,0.0,0.0,,
Theo Riddick,RB,FA,1.0,,,,,,,8.3,,11,2016,4.0,13.0,3.3,7.0,0.0,0.0,8.0,10.0,70.0,8.8,0.0,0.0,,
Wendell Smallwood,RB,FA,1.0,,,,,,,7.9,,11,2016,13.0,48.0,3.7,18.0,0.0,0.0,4.0,5.0,31.0,7.8,0.0,0.0,,
Mike Gillislee,RB,FA,1.0,,,,,,,7.2,,11,2016,14.0,72.0,5.1,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
Robert Turbin,RB,FA,1.0,,,,,,,6.4,,11,2016,2.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jeremy Hill,RB,FA,1.0,,,,,,,6.3,,11,2016,16.0,62.0,3.9,20.0,1.0,0.0,2.0,2.0,1.0,0.5,0.0,0.0,,
Dion Lewis,RB,FA,1.0,,,,,,,4.9,,11,2016,5.0,23.0,4.6,12.0,0.0,0.0,3.0,5.0,26.0,8.7,0.0,0.0,,
Charcandrick West,RB,FA,1.0,,,,,,,4.2,,11,2016,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,42.0,14.0,0.0,0.0,,
Kenneth Dixon,RB,FA,1.0,,,,,,,4.0,,11,2016,6.0,40.0,6.7,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
Paul Perkins,RB,FA,1.0,,,,,,,3.5,,11,2016,4.0,16.0,4.0,11.0,0.0,0.0,2.0,2.0,19.0,9.5,0.0,0.0,,
T.J. Yeldon,RB,FA,1.0,,,,,,,3.2,,11,2016,4.0,16.0,4.0,7.0,0.0,0.0,2.0,3.0,16.0,8.0,0.0,0.0,,
Ryan Mathews,RB,FA,1.0,,,,,,,3.1,,11,2016,7.0,31.0,4.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Denard Robinson,RB,FA,1.0,,,,,,,2.5,,11,2016,3.0,21.0,7.0,9.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,,
Andre Ellington,RB,FA,1.0,,,,,,,2.3,,11,2016,5.0,21.0,4.2,8.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,,
Isaiah Crowell,RB,FA,1.0,,,,,,,2.3,,11,2016,8.0,10.0,1.3,6.0,0.0,0.0,5.0,5.0,13.0,2.6,0.0,0.0,,
Darren Sproles,RB,FA,1.0,,,,,,,2.1,,11,2016,2.0,15.0,7.5,8.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,,
Reggie Bush,RB,FA,1.0,,,,,,,2.1,,11,2016,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,21.0,10.5,0.0,0.0,,
Chris Thompson,RB,FA,1.0,,,,,,,1.9,,11,2016,2.0,10.0,5.0,9.0,0.0,0.0,1.0,3.0,9.0,9.0,0.0,0.0,,
Mike Tolbert,RB,FA,1.0,,,,,,,1.6,,11,2016,2.0,-1.0,-0.5,0.0,0.0,0.0,1.0,2.0,17.0,17.0,0.0,0.0,,
Lance Dunbar,RB,FA,1.0,,,,,,,1.6,,11,2016,1.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,14.0,7.0,0.0,0.0,,
John Kuhn,RB,FA,1.0,,,,,,,1.2,,11,2016,2.0,3.0,1.5,2.0,0.0,0.0,2.0,2.0,9.0,4.5,0.0,0.0,,
Ronnie Hillman,RB,FA,1.0,,,,,,,0.9,,11,2016,2.0,9.0,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aaron Ripkowski,RB,FA,1.0,,,,,,,0.9,,11,2016,2.0,9.0,4.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Mike James,RB,FA,1.0,,,,,,,0.9,,11,2016,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Paul Lasike,RB,FA,1.0,,,,,,,0.5,,11,2016,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DuJuan Harris,RB,FA,1.0,,,,,,,0.4,,11,2016,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Benny Cunningham Jr.,RB,FA,1.0,,,,,,,0.4,,11,2016,2.0,7.0,3.5,6.0,0.0,0.0,1.0,2.0,-3.0,-3.0,0.0,0.0,,
Marcus Murphy,RB,FA,1.0,,,,,,,0.3,,11,2016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,,
Troymaine Pope,RB,FA,1.0,,,,,,,0.3,,11,2016,2.0,3.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Will Tukuafu,RB,FA,1.0,,,,,,,0.2,,11,2016,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jerome Felton,RB,FA,1.0,,,,,,,0.2,,11,2016,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jay Prosch,RB,FA,1.0,,,,,,,0.2,,11,2016,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Anthony Sherman,RB,FA,1.0,,,,,,,0.0,,11,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jordan Todman,RB,FA,1.0,,,,,,,0.0,,11,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
Cory Harkey,RB,FA,1.0,,,,,,,0.0,,11,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Fozzy Whittaker,RB,FA,1.0,,,,,,,0.0,,11,2016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
