rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
131.0,Deon Yelder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,KC,TE,6,2020
132.0,Ross Dwelley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,SF,TE,6,2020
135.0,Jaeden Graham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ATL,TE,6,2020
173.0,Cethan Carter,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CIN,TE,6,2020
174.0,Luke Stocker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ATL,TE,6,2020
181.0,Tyler Eifert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,JAC,TE,6,2020
182.0,Levine Toilolo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NYG,TE,6,2020
183.0,Vance McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PIT,TE,6,2020
184.0,Demetrius Harris,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,CHI,TE,6,2020
198.0,Marcedes Lewis,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,GB,TE,6,2020
210.0,Jake Butt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,DEN,TE,6,2020
211.0,Jeremy Sprinkle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WAS,TE,6,2020
219.0,Johnny Mundt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,LAR,TE,6,2020
221.0,Temarrick Hemingway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WAS,TE,6,2020
229.0,Blake Bell,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,DAL,TE,6,2020
232.0,James O'Shaughnessy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7,JAC,TE,6,2020
1.0,Harrison Bryant,4.0,5.0,56.0,14.0,35.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,17.6,17.6,0.2,CLE,TE,7,2020
2.0,Rob Gronkowski,5.0,8.0,62.0,12.4,26.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.2,12.2,97.7,TB,TE,7,2020
3.0,Logan Thomas,4.0,4.0,60.0,15.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,27.1,WAS,TE,7,2020
4.0,T.J. Hockenson,5.0,6.0,59.0,11.8,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.9,11.9,57.4,DET,TE,7,2020
5.0,Darren Waller,6.0,9.0,50.0,8.3,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,92.6,LVR,TE,7,2020
6.0,Jared Cook,3.0,4.0,32.0,10.7,22.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.2,9.2,50.2,NO,TE,7,2020
7.0,Gerald Everett,4.0,5.0,28.0,7.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.8,8.8,35.7,LAR,TE,7,2020
8.0,Virgil Green,1.0,2.0,26.0,26.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.6,8.6,0.0,LAC,TE,7,2020
9.0,Richard Rodgers,6.0,8.0,85.0,14.2,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.5,8.5,0.0,PHI,TE,7,2020
11.0,David Njoku,2.0,3.0,20.0,10.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,12.9,CLE,TE,7,2020
12.0,Hayden Hurst,6.0,7.0,68.0,11.3,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.8,6.8,0.9,ATL,TE,7,2020
13.0,Tyler Kroft,4.0,4.0,64.0,16.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.4,6.4,0.2,BUF,TE,7,2020
14.0,Jace Sternberger,1.0,1.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.3,6.3,0.0,GB,TE,7,2020
15.0,Albert Okwuegbunam,7.0,7.0,60.0,8.6,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,1.0,DEN,TE,7,2020
16.0,Dan Arnold,2.0,3.0,57.0,28.5,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.7,5.7,6.7,ARI,TE,7,2020
17.0,George Kittle,5.0,7.0,55.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,99.7,SF,TE,7,2020
18.0,Drew Sample,5.0,6.0,52.0,10.4,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.2,5.2,0.1,CIN,TE,7,2020
19.0,Eric Ebron,6.0,8.0,50.0,8.3,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,3.0,PIT,TE,7,2020
20.0,Evan Engram,6.0,9.0,46.0,7.7,17.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,4.9,4.9,28.5,NYG,TE,7,2020
21.0,Johnny Mundt,3.0,3.0,48.0,16.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.8,4.8,0.0,LAR,TE,7,2020
22.0,Cole Kmet,2.0,2.0,45.0,22.5,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,33.3,CHI,TE,7,2020
23.0,Noah Fant,3.0,7.0,38.0,12.7,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,3.8,80.3,DEN,TE,7,2020
24.0,Will Dissly,2.0,4.0,38.0,19.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,3.8,0.2,SEA,TE,7,2020
25.0,James O'Shaughnessy,3.0,3.0,32.0,10.7,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,3.2,1.7,JAC,TE,7,2020
26.0,Robert Tonyan,2.0,2.0,32.0,16.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,3.2,18.6,GB,TE,7,2020
27.0,Travis Kelce,3.0,3.0,31.0,10.3,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1,3.1,100.0,KC,TE,7,2020
28.0,Jimmy Graham,5.0,6.0,31.0,6.2,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1,3.1,0.8,CHI,TE,7,2020
29.0,Nick Vannett,2.0,3.0,25.0,12.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0.1,DEN,TE,7,2020
30.0,Hunter Henry,3.0,7.0,23.0,7.7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,2.3,65.9,LAC,TE,7,2020
31.0,Dalton Schultz,2.0,4.0,22.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,2.2,89.9,DAL,TE,7,2020
32.0,Jacob Hollister,3.0,3.0,22.0,7.3,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,2.2,0.0,SEA,TE,7,2020
33.0,Ben Ellefson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,JAC,TE,7,2020
34.0,Greg Olsen,2.0,3.0,18.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,1.8,7.0,SEA,TE,7,2020
35.0,Nick Keizer,2.0,2.0,36.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.6,1.6,0.0,KC,TE,7,2020
36.0,Demetrius Harris,2.0,3.0,15.0,7.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0.1,CHI,TE,7,2020
37.0,Vance McDonald,2.0,2.0,14.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.4,0.0,PIT,TE,7,2020
38.0,Tanner Hudson,1.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.2,0.0,TB,TE,7,2020
39.0,Ian Thomas,1.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,1.1,0.1,CAR,TE,7,2020
40.0,Marcedes Lewis,1.0,3.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.9,0.2,GB,TE,7,2020
41.0,Jonnu Smith,1.0,4.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.9,22.7,TEN,TE,7,2020
42.0,Dalton Keene,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,0.0,NE,TE,7,2020
43.0,Ryan Izzo,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,0.0,NE,TE,7,2020
44.0,Cameron Brate,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,2.8,TB,TE,7,2020
45.0,Anthony Firkser,2.0,2.0,7.0,3.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.7,3.7,TEN,TE,7,2020
46.0,Jeremy Sprinkle,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.0,WAS,TE,7,2020
47.0,Jason Witten,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.1,LVR,TE,7,2020
48.0,Isaac Nauta,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.3,0.0,DET,TE,7,2020
51.0,Adam Trautman,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.7,NO,TE,7,2020
78.0,Charlie Woerner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,SF,TE,7,2020
82.0,Reggie Gilliam,1.0,1.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,BUF,TE,7,2020
104.0,Pharaoh Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,HOU,TE,7,2020
105.0,Colin Thompson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CAR,TE,7,2020
107.0,John Lovett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,GB,TE,7,2020
108.0,Foster Moreau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.7,LVR,TE,7,2020
113.0,Trevon Wesco,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NYJ,TE,7,2020
123.0,Stephen Carlson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CLE,TE,7,2020
127.0,Kaden Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NYG,TE,7,2020
129.0,Deon Yelder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,KC,TE,7,2020
130.0,Ross Dwelley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,SF,TE,7,2020
133.0,Jaeden Graham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ATL,TE,7,2020
172.0,Jason Croom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PHI,TE,7,2020
175.0,Luke Stocker,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ATL,TE,7,2020
181.0,Levine Toilolo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NYG,TE,7,2020
182.0,Ryan Griffin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,NYJ,TE,7,2020
185.0,Derek Carrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,LVR,TE,7,2020
204.0,Stephen Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,LAC,TE,7,2020
213.0,Darrell Daniels,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ARI,TE,7,2020
215.0,Eric Saubert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,JAC,TE,7,2020
218.0,Temarrick Hemingway,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WAS,TE,7,2020
223.0,Jesse James,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DET,TE,7,2020
225.0,MyCole Pruitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TEN,TE,7,2020
226.0,Blake Bell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,DAL,TE,7,2020
227.0,Chris Manhertz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CAR,TE,7,2020
231.0,Josh Hill,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO,TE,7,2020
232.0,Darren Fells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,HOU,TE,7,2020
1.0,Travis Kelce,8.0,12.0,109.0,13.6,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.9,16.9,100.0,KC,TE,8,2020
2.0,Jared Cook,5.0,7.0,51.0,10.2,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.1,11.1,50.2,NO,TE,8,2020
3.0,Eric Ebron,4.0,5.0,48.0,12.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.8,10.8,3.0,PIT,TE,8,2020
4.0,Rob Gronkowski,4.0,4.0,41.0,10.3,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.1,10.1,97.7,TB,TE,8,2020
5.0,Robert Tonyan,5.0,7.0,79.0,15.8,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.9,7.9,18.6,GB,TE,8,2020
6.0,Jack Doyle,2.0,3.0,18.0,9.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.8,7.8,2.2,IND,TE,8,2020
7.0,Ross Dwelley,1.0,4.0,16.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.6,7.6,0.1,SF,TE,8,2020
8.0,Trey Burton,3.0,4.0,9.0,3.0,8.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,7.1,7.1,0.0,IND,TE,8,2020
9.0,Evan Engram,5.0,10.0,61.0,12.2,30.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,7.0,7.0,28.5,NYG,TE,8,2020
10.0,Albert Okwuegbunam,1.0,1.0,9.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.9,6.9,1.0,DEN,TE,8,2020
11.0,T.J. Hockenson,7.0,10.0,65.0,9.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,6.5,57.4,DET,TE,8,2020
12.0,Hayden Hurst,5.0,7.0,54.0,10.8,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.4,5.4,0.9,ATL,TE,8,2020
13.0,Dalton Schultz,6.0,8.0,53.0,8.8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,5.3,89.9,DAL,TE,8,2020
14.0,Noah Fant,7.0,9.0,47.0,6.7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.7,4.7,80.3,DEN,TE,8,2020
15.0,Jace Sternberger,3.0,4.0,46.0,15.3,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,4.6,0.0,GB,TE,8,2020
16.0,George Kittle,2.0,4.0,39.0,19.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9,3.9,99.7,SF,TE,8,2020
17.0,Mo Alie-Cox,3.0,4.0,37.0,12.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7,3.7,2.2,IND,TE,8,2020
18.0,Anthony Firkser,2.0,3.0,36.0,18.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6,3.6,3.7,TEN,TE,8,2020
19.0,Cameron Brate,2.0,2.0,35.0,17.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,3.5,2.8,TB,TE,8,2020
20.0,Hunter Henry,4.0,4.0,33.0,8.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3,3.3,65.9,LAC,TE,8,2020
21.0,Mark Andrews,3.0,6.0,32.0,10.7,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,3.2,99.9,BAL,TE,8,2020
22.0,Gerald Everett,5.0,9.0,32.0,6.4,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,3.2,35.7,LAR,TE,8,2020
23.0,Jonnu Smith,2.0,2.0,29.0,14.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.9,2.9,22.7,TEN,TE,8,2020
24.0,Ian Thomas,3.0,3.0,28.0,9.3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8,2.8,0.1,CAR,TE,8,2020
25.0,Darren Waller,5.0,6.0,27.0,5.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7,2.7,92.6,LVR,TE,8,2020
26.0,Ryan Izzo,2.0,3.0,24.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,2.4,0.0,NE,TE,8,2020
27.0,Jesse James,1.0,1.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,2.3,0.0,DET,TE,8,2020
28.0,Jason Witten,2.0,2.0,21.0,10.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,0.1,LVR,TE,8,2020
29.0,David Njoku,1.0,3.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9,1.9,12.9,CLE,TE,8,2020
30.0,Will Dissly,1.0,1.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,1.7,0.2,SEA,TE,8,2020
31.0,Durham Smythe,2.0,2.0,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.6,0.1,MIA,TE,8,2020
32.0,Irv Smith Jr.,1.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.6,7.3,MIN,TE,8,2020
33.0,Dallas Goedert,1.0,1.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,89.8,PHI,TE,8,2020
34.0,Tyler Higbee,2.0,4.0,14.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.4,77.4,LAR,TE,8,2020
35.0,Jimmy Graham,2.0,7.0,13.0,6.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,1.3,0.8,CHI,TE,8,2020
36.0,Kyle Rudolph,1.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.2,0.3,MIN,TE,8,2020
37.0,Tyler Kroft,1.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,1.1,0.2,BUF,TE,8,2020
38.0,Levine Toilolo,1.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.9,0.0,NYG,TE,8,2020
39.0,Mike Gesicki,1.0,2.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,87.6,MIA,TE,8,2020
40.0,Josh Hill,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.7,0.0,NO,TE,8,2020
41.0,Kaden Smith,1.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.0,NYG,TE,8,2020
42.0,Chris Manhertz,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.0,CAR,TE,8,2020
43.0,Jacob Hollister,1.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.0,SEA,TE,8,2020
44.0,Harrison Bryant,3.0,3.0,25.0,8.3,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.2,CLE,TE,8,2020
45.0,Nick Keizer,1.0,2.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,KC,TE,8,2020
46.0,Deon Yelder,1.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,KC,TE,8,2020
47.0,Cole Kmet,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,33.3,CHI,TE,8,2020
48.0,Cethan Carter,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.0,CIN,TE,8,2020
59.0,Drew Sample,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,CIN,TE,8,2020
60.0,Trevon Wesco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NYJ,TE,8,2020
63.0,Isaac Nauta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DET,TE,8,2020
68.0,Stephen Carlson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CLE,TE,8,2020
71.0,John Lovett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,GB,TE,8,2020
79.0,Reggie Gilliam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,BUF,TE,8,2020
97.0,Colby Parkinson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,SEA,TE,8,2020
98.0,Adam Trautman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.7,NO,TE,8,2020
111.0,Charlie Woerner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,SF,TE,8,2020
115.0,Colin Thompson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CAR,TE,8,2020
123.0,Jaeden Graham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ATL,TE,8,2020
128.0,Foster Moreau,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.7,LVR,TE,8,2020
133.0,Tyler Conklin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.5,MIN,TE,8,2020
136.0,Tanner Hudson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TB,TE,8,2020
167.0,Jason Croom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PHI,TE,8,2020
170.0,Luke Stocker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ATL,TE,8,2020
176.0,Vance McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PIT,TE,8,2020
177.0,Luke Willson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CIN,TE,8,2020
178.0,Ryan Griffin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,NYJ,TE,8,2020
179.0,Demetrius Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,CHI,TE,8,2020
182.0,Derek Carrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,LVR,TE,8,2020
185.0,Greg Olsen,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,SEA,TE,8,2020
193.0,Marcedes Lewis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,GB,TE,8,2020
194.0,Johnny Mundt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,LAR,TE,8,2020
202.0,Nick Vannett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,DEN,TE,8,2020
